Торгівельне найменування,Міжнародне непатентоване найменування,Склад (діючі),Код АТС,Заявник: назва українською,Заявник: країна,Заявник: адреса,Виробник: назва українською,Виробник: країна,Виробник: адреса,Номер Реєстраційного посвідчення,Термін придатності: значення,Термін придатності: одиниця вимірювання,Допоміжні речовини,Діючі речовини,Посилання на медикамент
А-ДІСТОН,Methionine,"L-метіоніну 99,0 % - 101,0 % (в перерахунку на суху речовину)",C01E X,АМІНО ГмбХ,Німеччина,"Ан дер Цукер-Раффінері, 9, 38373, Фрельштедт, Німеччина",АМІНО ГмбХ,Німеччина,"Ан дер Цукер-Раффінері, 9, 38373, Фрельштедт, Німеччина",UA/16575/01/01,4,рік,,"настойка з лікарської рослинної сировини: глоду плодів (Сrataegi fructus), собачої кропиви трави (Leonuri cardiacae herba), валеріани коренів (Valerianae radix), фенхелю плодів (Fructus foeniculi vulgaris), м’яти листя (Menthae piperitae folium), арніки квіток (Arnicae flos) (екстрагент — етанол 70%)",
АБАВІР,Ornithine*,"L-орнітину-L-аспартату від 98,0 % до 102,0 % (суха речовина)",J05A F06,"Товариство з обмеженою відповідальністю ""ФАРМЕКС ГРУП""",Україна,"Україна, 08300, Київська обл., м. Бориспіль, вул. Шевченка, буд. 100",ЕВОНІК РЕКСІМ С.А.С.,Франція,"33 руе де Вердун, АМ, 80400, Францiя",UA/15507/01/01,4,рік,"сорбіт, сахарин натрію, натрію цитрат, кислота лимонна безводна, метилпарагідроксибензоат (Е 218), пропілпарагідроксибензоат (Е 216), пропіленгліколь, ароматизатор полуничний, ароматизатор банановий, вода очищена",абакавір,
АБАКАВІР,Ornithine*,"L-орнітину-L-аспартату від 98,0 % до 102,0 % (суха речовина)",J05A F06,"Товариство з обмеженою відповідальністю ""ФАРМЕКС ГРУП""",Україна,"Україна, 08300, Київська обл., м. Бориспіль, вул. Шевченка, буд. 100",ЕВОНІК РЕКСІМ С.А.С.,Франція,"33 руе де Вердун, АМ, 80400, Францiя",UA/15507/01/01,4,рік,"целюлоза мікрокристалічна, кремнію діоксид колоїдний безводний, нагрію крохмальгліколят (тип А), магнію стеарат, плівкове покриття «Оиадрай жовтий» 03В82849 (гіпромелоза, титану діоксид (Е 171), поліетиленгліколь, заліза оксид жовтий (Е 172), заліза оксид червоний (Е 172))",Абакавір,
АБАЛАМ,Mono,"тирозину не менше 98,5 % та не більше 101,5 % у перерахуванні на суху речовину",J05A R02,"АТ ""КИЇВСЬКИЙ ВІТАМІННИЙ ЗАВОД""",Україна,"Україна, 04073, м. Київ, вул. Копилівська, 38","Тяньцзінь Тяньао Фармасьютікалз Ко., Лтд.",Китай,"19, Ксіньє 9 Стріт, вест Еріа Тяньцзінь Економік-Текнолоджікал Девелопмент Еріа,Тяньцзінь, Китай",UA/14373/01/01,2,рік,"целюлоза мікрокристалічна, натрію крохмальгліколят (тип А), кремнію діоксид колоїдний безводний, магнію стеарат, оболонка Opadry orange YS-1–13065-A: гіпромелоза (Е 464), титану діоксид (Е 171), макрогол (Е 1521), полісорбат (Е 433), жовтий захід FCF (Е 110)","Абакавір, Ламівудин",
АБИКЛАВ®,Levothyroxine sodium,1 таблетка містить левотироксину натрію у перерахуванні на 100 % суху речовину 100 мкг,H03AA01,"ПАТ ""Фармак""",Україна,"Україна, 04080, м. Київ, вул. Фрунзе, 63","ПАТ ""Фармак""",Україна,"Україна, 04080, м. Київ, вул. Фрунзе, 74",UA/2551/01/03,3,рік,"целюлоза мікрокристалічна, натрію крохмальгліколят (тип А), кремнію діоксид колоїдний безводний, магнію стеарат, опадрай білий (06В58855)","Амоксицилін, Кислота клавуланова",
АБИПИМ®,Levothyroxine sodium,1 таблетка містить левотироксину натрію у перерахуванні на 100 % суху речовину 100 мкг,H03AA01,"АТ ""Фармак""",Україна,"Україна, 04080, м. Київ, вул. Кирилівська, 63","АТ ""Фармак""",Україна,"Україна, 04080, м. Київ, вул. Кирилівська, 74",UA/2551/01/03,3,рік,,Цефепім,
АБИФЛОКС®,Levothyroxine sodium,1 таблетка містить левотироксину натрію у перерахуванні на 100 % суху речовину 25 мкг,H03AA01,"ПАТ ""Фармак""",Україна,"Україна, 04080, м. Київ, вул. Фрунзе, 63","ПАТ ""Фармак""",Україна,"Україна, 04080, м. Київ, вул. Фрунзе, 74",UA/2551/01/01,3,рік,"натрію хлорид, кислота хлористоводнева розведена, натрію гідроксид, вода для ін’єкцій",Левофлоксацин,
АБІЗОЛ,Levothyroxine sodium,1 таблетка містить левотироксину натрію у перерахуванні на 100 % суху речовину 25 мкг,H03AA01,"АТ ""Фармак""",Україна,"Україна, 04080, м. Київ, вул. Кирилівська, 63","АТ ""Фармак""",Україна,"Україна, 04080, м. Київ, вул. Кирилівська, 74",UA/2551/01/01,3,рік,"таблетки по 5 мг: маніт (Е 421), кросповідон, повідон, індигокармін лак (E 132), магнію стеарат",Арипіпразол,
АБІКСА,Levothyroxine sodium,1 таблетка містить левотироксину натрію у перерахуванні на 100 % суху речовину 50 мкг,H03AA01,"АТ ""Фармак""",Україна,"Україна, 04080, м. Київ, вул. Кирилівська, 63","АТ ""Фармак""",Україна,"Україна, 04080, м. Київ, вул. Кирилівська, 74",UA/2551/01/02,3,рік,"целюлоза мікрокристалічна, натрію кроскармелоза, кремнію діоксид колоїдний безводний, магнію стеарат",Мемантину гідрохлорид,
АБІРАТЕРОН-ВІСТА,Levothyroxine sodium,1 таблетка містить левотироксину натрію 100 мкг,H03AA01,БЕРЛІН-ХЕМІ АГ,Німеччина,"Глінікер Вег 125, 12489 Берлін, Німеччина","БЕРЛІН-ХЕМІ АГ (виробництво ""in bulk"", контроль серій; пакування, контроль та випуск серій)",Німеччина,"Темпельховер Вег 83, 12347, Берлін, Німеччина (виробництво препарату in bulk, контроль серії)",UA/8133/01/01,2,рік,"лактози моногідрат, целюлоза мікрокристалічна, натрію кроскармелоза, гіпромелоза (Е 464), натрію лаурилсульфат, кремнію діоксид колоїдний безводний, магнію стеарат",абіратерону ацетат,
АБРОЛ®,Levothyroxine sodium,1 таблетка містить левотироксину натрію 50 мкг,H03AA01,БЕРЛІН-ХЕМІ АГ,Німеччина,"Глінікер Вег 125, 12489 Берлін, Німеччина","БЕРЛІН-ХЕМІ АГ (виробництво ""in bulk"", контроль серій; пакування, контроль та випуск серій)",Німеччина,"Темпельховер Вег 83, 12347, Берлін, Німеччина (виробництво препарату in bulk, контроль серії)",UA/8133/01/02,2,рік,"гідроксіетилцелюлоза, сорбіту розчин (сорбіт Е 420), гліцерин, сахарин натрію, кислота бензойна (Е 210), пропіленгліколь, смакова добавка «Абрикос», смакова добавка «М’ята садова», вода очищена","Амброксол, Амброксолу гідрохлорид",
АБРОЛ® SR,Levothyroxine sodium,1 таблетка містить левотироксину натрію 75 мкг,H03AA01,БЕРЛІН-ХЕМІ АГ,Німеччина,"Глінікер Вег 125, 12489 Берлін, Німеччина","БЕРЛІН-ХЕМІ АГ (виробництво ""in bulk"", контроль серій; пакування, контроль та випуск серій)",Німеччина,"Темпельховер Вег 83, 12347, Берлін, Німеччина (виробництво препарату in bulk, контроль серії)",UA/8133/01/03,2,рік,"гідроксіетилцелюлоза, сорбіту розчин (сорбіт Е 420), гліцерин, сахарин натрію, кислота бензойна (Е 210), пропіленгліколь, смакова добавка «Абрикос», смакова добавка «М’ята садова», вода очищена","Амброксол, Амброксолу гідрохлорид",
АВАМІС™,Mono,"L-треоніну 99,0 % - 101,0 % (в перерахунку на суху речовину)",R01A D12,АМІНО ГмбХ,Німеччина,"Ан дер Цукер-Раффінері, 9, 38373, Фрельштедт, Німеччина",АМІНО ГмбХ,Німеччина,"Ан дер Цукер-Раффінері, 9, 38373, Фрельштедт, Німеччина",UA/16578/01/01,4,рік,"глюкоза безводна, целюлоза диспергирована, полісорбат 80, розчин бензалконію хлориду, динатрію едетат, вода очищена.,  глюкоза безводна, целюлоза диспергирована, полісорбат 80, розчин бензалконію хлориду, динатрію едетат, вода очищена",Флютиказону фуроат,
АВАНАЛАВ®,Threonine*,"(2S,3R)-2-аміно-3-гідроксибутанової кислоти 99,0 % - 101,0 % у перерахунку на суху речовину",G04B E10,"ПрАТ ""Мультіфарма""",Україна,"Україна, 04123, м. Київ, вул. Світлицького, 35","Кіова Хакко Біо Ко., Лтд",Японія,"Головний офіс: 1-6-1, Охтемачи, Чійода-ку, Токіо, 100-8185, Японія",UA/12032/01/01,4,рік,,Аванафіл,
АВАНАФІЛ,Tryptophan,"L-триптофану 98,5 % - 101,0 % (в перерахунку на суху речовину)",G04B E10,АМІНО ГмбХ,Німеччина,"Ан дер Цукер-Раффінері, 9, 38373, Фрельштедт, Німеччина",АМІНО ГмбХ,Німеччина,"Ан дер Цукер-Раффінері, 9, 38373, Фрельштедт, Німеччина",UA/16579/01/01,4,рік,,Аванафіл,
АВАСТИН®,Tryptophan,"L-Триптофану від 99,0 % до 101,0 %",L01X C07,"ТОВ ""Мультіфарма""",Україна,"Україна, 04123, м. Київ, вул. Світлицького, 35",Кіова Хакко Біо Ко. Лтд.,Японія,"головний офіс: 1-6-1, Охтемачи, Чійода-ку, Токіо, 100-8185, Японія",UA/10700/01/01,4,рік,"альфа-трегалози дигідрат, натрію дигідрофосфату моногідрат, динатрію фосфат безводний, полісорбат 20, вода для ін'єкцій.,  альфа-трегалози дигідрат, натрію дигідрофосфату моногідрат, динатрію фосфат безводний, полісорбат 20, вода для ін'єкцій",Бевацизумаб,
АВЕЛОКС®,Phenylalanine*,"L-фенілаланіну не менше 98,5 % і не більше 101,0% (в перерахунку на суху речовину)",J01M A14,АМІНО ГмбХ,Німеччина,"Ан дер Цукер-Раффінері, 9, 38373, Фрельштедт, Німеччина",АМІНО ГмбХ,Німеччина,"Ан дер Цукер-Раффінері, 9, 38373, Фрельштедт, Німеччина",UA/16459/01/01,4,рік,"целюлоза мікрокристалічна, натрію кроскармелоза, лактози моногідрат, магнію стеарат, оксид червоного заліза (е 172), гіпромеллоза, макрогол 4000, титану діокис.,  натрію хлорид, натрію гідроксид, кислота соляна, вода для ін'єкцій",Моксифлоксацин,
АВЕРТИД,Levocetirizine,"5 мл сиропу містять левоцетиризину дигідрохлориду 2,5 мг",R06AE09,"ТОВ ""КУСУМ ФАРМ""",Україна,"40020, Україна, Сумська область, м. Суми, вул. Скрябіна, 54","ТОВ ""КУСУМ ФАРМ""",Україна,"40020, Україна, Сумська область, м. Суми, вул. Скрябіна, 54",UA/8612/02/01,3,рік,"натрію сахарин, метилпарабен (Е 218), пропілпарабен (Е 216), етанол 96%, ароматизатор фруктовий, вода очищена",Бетагістину дигідрохлорид,
АВОДАРТ,Cysteine*,"L-цистеїну від 98,5 % до 101,0 %, у перерахуванні на суху речовину",G04C B02,"Товариство з обмеженою відповідальністю ""Фармацевтична компанія ""Здоров'я""",Україна,"Україна, 61013, Харківська обл., місто Харків, вулиця Шевченка, будинок 22","Асікага плант, Ніппон Ріка Ко., Лтд.",Японія,"610, Янада-чо, Асікага-ші, Точігі, Японія",UA/13140/01/01,2,рік,,Дутастерид,
АВОДЕЛЬ,Malic acid*,"L-гідроксибутандіової кислоти від 99,0 % до 101,0 % у перерахуванні на безводну речовину",G03A D01,"ПАТ ""Галичфарм""",Україна,"Україна, 79024, м.Львів, вул. Опришківська, 6/8",Чангмао Байокемікал Інджінірінг Ко. Лтд,Китай,"1228 Норт Чангджіанг Рд., Ксінбей Дістрікт, Чангжоу сіті, Джіангсу провінс, П.Р. Чайна 213034 (поштова адреса), Китай",UA/13274/01/01,24,місяць,"целюлоза мікрокристалічна, лактози моногідрат, полоксамер 188, натрію кроскармелоза, магнію стеарат",левоноргестрел,
АГАПУРИН® СР 400,Malic acid*,"L-яблучної кислоти не менше 99,0 % і не більше 101,0 % (в перерахунку на суху речовину)",C04A D03,АМІНО ГмбХ,Німеччина,"Ан дер Цукер-Раффінері, 9, 38373, Фрельштедт, Німеччина",АМІНО ГмбХ,Німеччина,"Ан дер Цукер-Раффінері, 9, 38373, Фрельштедт, Німеччина",UA/15773/01/01,4,рік,"гіпромеллоза, повідон 40, тальк, магнію стеарат, барвник білий sepifilm 752, диметикон, макрогол 6000",Пентоксифілін,
АГВАНТАР,Arginine hydrochloride,"L-Аргініну Моногідрохлориду від 99,0 % до 101,0 % у перерахунку на суху речовину",A16A A01,"ПрАТ ""Мультіфарма""",Україна,"Україна, 04123, м. Київ, вул. Світлицького 35","Шанхай Кіова Аміно Асід Ко., Лтд.",Китай,"Шосе Хінтуан, 158, Промислова зона Квінгпу, Шанхай, 201707, Китай",UA/15725/01/01,3,рік,"метилпарабен (Е 218), пропілпарабен (Е 216), цукроза, сорбіт (Е 420), ароматизатор «банан», вода очищена",Левокарнітин (L-карнітин),
АГЕН® 10,Mono,"N-ацетилтирозину не менше 98,5 % і не більше 101,0 %, у перерахунку на суху речовину",C08C A01,АМІНО ГмбХ,Німеччина,"Ан дер Цукер-Раффінері 9, 38373 Фрельштедт, Німеччина",Аміно ГмбХ,Німеччина,"Ан дер Цукер-Раффінері 9 38373 Фрельштедт, Німеччина",UA/17652/01/01,4,рік,"целюлоза мікрокристалічна, натрію крохмальгліколят (тип а), кальцію гідрофосфат безводний, магнію стеарат.,  целюлоза мікрокристалічна, натрію крохмальгліколят (тип а), кальцію гідрофосфат безводний, магнію стеарат",Амлодипін,
АГЕН® 5,Ademetionine,"адеметіоніну катіону не менше 48,00 % та не більше 54,00 %, в перерахунку на безводну речовину",C08C A01,"ПАТ ""Київмедпрепарат""",Україна,"Україна, 01032, м. Київ, вул. Саксаганського, 139",ОМНІАБІОС с.р.л.,Італія,"Віа Індустріале, 34 Баньйолло-Мелла (БС), Італiя",UA/15977/01/01,3,рік,"целюлоза мікрокристалічна, натрію крохмальгліколят (тип а), кальцію гідрофосфат безводний, магнію стеарат.,  целюлоза мікрокристалічна, натрію крохмальгліколят (тип а), кальцію гідрофосфат безводний, магнію стеарат",Амлодипін,
АГНЕСТІ®,Mono,1 таблетка містить бета-аланіну 400 мг,G02CX,Лабораторії Бушара Рекордаті,Франція,"Іммебль ""Лє Вільсон"", авеню ду Генерал де Голль, 70, 92800 ПУТО, Франція",Лабораторії Бушара Рекордаті,Франція,"Парк Мекатронік, 03410, Сент Віктор, Франція",UA/5702/01/01,3 роки,3,,агомелатин,
АГРЕЛІД,Abacavir,за рецептом,Противірусні препарати для системного застосування. Нуклеозидні та нуклеотидні інгібітори зворотної транскриптази.,,Гетеро Лабз Лімітед,Індія,1,Гетеро Лабз Лімітед,Індія,,2 роки. Після першого розкриття флакона – 28 днів.,2,"лактози моногідрат, лактоза безводна, целюлоза мікрокристалічна, кросповідон, повідон, магнію стеарат",Анагрелід,
АГРОПІРОН ГЛОБУЛІ ВЕЛАТІ,Abacavir,"1 таблетка містить: абакавіру сульфату 351,390 мг",J05AF06,Мілан Лабораторієс Лімітед,Індія,"564/А/22, дорога № 92, Джубілі Хіллз, Гідерабад-500-034, Індія",Мілан Лабораторієс Лімітед,Індія,"F4, F12, М.І.Д.К. Малегаон, Сіннар, Нашик-422 113, Махараштра, Індія",UA/16065/01/01,48,місяць,"вода очищена, сахароза","Agropyron repens e radice ferm 33c Dil. D3, Kalium carbonicum e cinere Fagi silvaticae Dil. D9 aquos., Taraxacum officinale e planta tota ferm 34c Dil. D4, Cinnaber Dil. D6",
АД-М-Біолік,Lamivudine and abacavir,"1 таблетка містить абакавіру (у формі абакавіру сульфату) 600 мг, ламівудину 300 мг",J05AR02,Сан Фармасьютикал Індастріз Лімітед,Індія,"Сан Хаус, ділянка № 201 В/1, Західна швидкісна автомагістраль, Горегаон (Е), Мумбаї - 400063, Махараштра, Індія",Сан Фармасьютикал Індастріз Лімітед,Індія,"с. Гангувала, Паонта Сахіб, Дістрікт Сірмоур, Хімачал Прадеш 173025, Індія",UA/18093/01/01,3,рік,"гель алюмінію гідроксиду (у перерахуванні на алюміній) — 0,5 мг",Анатоксин дифтерійний очищений,
АДАЖИО® ODT,Abacavir,"абакавіру сульфату не менше 99,0 % і не більше 101,0 % на безводну речовину",N05A H03,ВЕЗ Фармахем д.о.о.,Хорватія,"Строярська 20, 10 000 Загреб, Хорватія",Лаурус Лабс Лімітед,Індія,"Плот №21, Джавахарлал Нехру Фарма Сіті Паравада Індія - 531 021, Вісакхапатнам, Андхра Прадеш, Індія",UA/15932/01/01,3,рік,"маніт (Е 421), целюлоза мікрокристалічна, кальцію карбоксиметилцелюлоза, цукралоза, магнію стеарат, кремнію діоксид колоїдний безводний",Оланзапін,
АДАПТОЛ®,Abacavir,"абакавіру сульфату не менше 99,0 % і не більше 101,0 % в перерахунку на безводну речовину",N06B X21,Гетеро Лабз Лімітед,Індія,"""Гетеро Корпорейт"", 7-2-А2, Індастріал Естейтс, Санат Нагар, Хайдерабад – 500 018, Телангана, Індія",Гетеро Лабз Лімітед,Індія,"Юніт-I, Сі. № 10, І.Д.А., Гаддапотарам (Віледж), Джіннарам (Мандал), Сангаредді (Дістрікт), Індія",UA/17612/01/01,5,рік,"метилцелюлоза, кальцію стеарат",Мебікар,
АДВАГРАФ®,Lamivudine and abacavir,"1 таблетка містить: абакавіру сульфату еквівалентно абакавіру - 702,78 мг; ламівудину 300 мг",J05AR02,Ауробіндо Фарма Лімітед,Індія,"Плот №2, Майтри Віхар, Амеерпет, Хайдарабад - 500 038 Т.С., Індія",Ауробіндо Фарма Лімітед,Індія,"Юніт-ІІІ. Сарвей № 313 & 314. Бачупалі Віладж, Кутубуллапур Мандал, Ранджа Реді Дістрікт (А.Р.), Індія",UA/16120/01/01,24,місяць,"гіпромелоза, етилцелюлоза, лактози моногідрат, магнію стеарат",Такролімус,
АДВАНТАН®,Lamivudine and abacavir,"1 таблетка містить: абакавіру сульфату 70,28 мг еквівалентно 60 мг абакавіру; ламівудину 30 мг",J05AF05,Ципла Лімітед,Індія,"Ципла Хаус, бізнес-парк Peninsula, Ganpatrao Kadam Marg, Lower Parel, Мумбай - 400013, Махараштра, Індія",Ципла Лтд,Індія,"Плот № А-33, А-2 & А-37/2/2, МІДС Патальганга, 410220. Район - Райхад, Махараштра, Індія",UA/16509/01/01,3,рік,"віск білий, олія мінеральна, парафін м'який білий, дегимульс e (dehymuls e), вода очищена.,  децил олеат, гліцерину моностеарат 40-55%, спирт цетостеариловий, жир твердий, совтізан 378, поліоксилу стеарат 40, гліцерин 85%, натрію едетат, спирт бензиловий, бутилгідрокситолуол, вода очищена",Метилпреднізолону ацепонат,
АДВОКАРД®,Amoxicillin and beta-lactamase inhibitor,"1 таблетка, вкрита плівковою оболонкою, містить амоксициліну тригідрат у кількості, яка еквівалентна 500 мг амоксициліну, та клавуланат калію у кількості, яка еквівалентна 125 мг клавуланової кислоти",J01CR02,Абрил Формулейшнз Пвт. Лтд.,Індія,"17406-А, Міноча Колоні, Батінда - 151001, Індія","Ауробіндо Фарма Лімітед, Юніт-ХІІ",Індія,"Сарвей № 314, селище Бачупаллі, Кутубуллапур Мандал, округ Ранга Редді, штат Теленгана, 500 090, Індія",UA/11903/01/02,2,рік,"фармаберст, таблетоза-80, цукрова пудра, кальцію стеарат, аеросил","Магладен (аденозин-5'-трифосфатоглюконато-магнію (II) тринатрієва сіль, Молсидомін, Кислота фолієва",
АДЕНІЗ,Levofloxacin,100 мл розчину містить левофлоксацину гемігідрату еквівалентно левофлоксацину 500 мг,J01MA12,Абрил Формулейшнз Пвт. Лтд,Індія,"17406-А, Міноча Колоні, Батінда-151001, Індія",ДЕМО С.А. Фармасьютікал Індастрі,Греція,"21-й км національної дороги Афіни-Ламія, Кріонері Аттікі, 14568, Греція",UA/14416/02/01,3,рік,,Валсартан,
АДЕНІЗ-АМ,Levofloxacin,"1 таблетка, вкрита плівковою оболонкою, містить левофлоксацину гемігідрату еквівалентно левофлоксацину 250 мг",J01MA12,Абрил Формулейшнз Пвт. Лтд,Індія,"17406-А, Міноча Колоні, Батінда-151001, Індія",Ауробіндо Фарма Лімітед - Юніт VII,Індія,"Спеціальна економічна зона, ТСІІК, Плот № S1, Sy. № 411/P, 425/P, 434/P, 435/P та 458/P, Грін Індастріал Парк, Полепаллі Віладж, Джедчерла Мандал, Махабубнагар Дістрікт, Штат Телангана, 509302, Індія",UA/14416/01/01,3,рік,,"Валсартан, Амлодипін",
АДЕНІЗ-Н,Levofloxacin,"1 таблетка, вкрита плівковою оболонкою, містить левофлоксацину гемігідрату еквівалентно левофлоксацину 500 мг",J01MA12,Абрил Формулейшнз Пвт. Лтд,Індія,"17406-А, Міноча Колоні, Батінда-151001, Індія",Ауробіндо Фарма Лімітед - Юніт VII,Індія,"Спеціальна економічна зона, ТСІІК, Плот № S1, Sy. № 411/P, 425/P, 434/P, 435/P та 458/P, Грін Індастріал Парк, Полепаллі Віладж, Джедчерла Мандал, Махабубнагар Дістрікт, Штат Телангана, 509302, Індія",UA/14416/01/02,3,рік,,"Валсартан, Гідрохлоротіазид",
АДЕНІЗ-ТРІО,Aripiprazole,1 таблетка містить арипіпразолу 10 мг,N05AX12,НОБЕЛ ІЛАЧ САНАЇ ВЕ ТІДЖАРЕТ А.Ш.,Туреччина,"Квартал Сарай, вул. Др. Аднан Бююкденіз № 14, р-н Юмраніє, м. Стамбул, Туреччина",НОБЕЛ ІЛАЧ САНАЇ ВЕ ТІДЖАРЕТ А.Ш.,Туреччина,"Квартал Санкаклар, пр. Ескі Акчакоджа, №299, 81100 м. Дюздже, Туреччина",UA/16417/01/02,3,рік,,"Валсартан, Гідрохлоротіазид, Амлодипін",
АДЕНОЗИН,Aripiprazole,1 таблетка містить арипіпразолу 5 мг,N05AX12,НОБЕЛ ІЛАЧ САНАЇ ВЕ ТІДЖАРЕТ А.Ш.,Туреччина,"Квартал Сарай, вул. Др. Аднан Бююкденіз № 14, р-н Юмраніє, м. Стамбул, Туреччина",НОБЕЛ ІЛАЧ САНАЇ ВЕ ТІДЖАРЕТ А.Ш.,Туреччина,"Квартал Санкаклар, пр. Ескі Акчакоджа, №299, 81100 м. Дюздже, Туреччина",UA/16417/01/01,3,рік,"цукроза, лактози моногідрат, крохмаль кукурудзяний, кальцію стеарат, натрію бензоат (е211), кремнію діоксид колоїдний безводний.,  цукроза, лактози моногідрат, крохмаль кукурудзяний, кальцію стеарат, натрію бензоат (е211), кремнію діоксид колоїдний безводний",Аденозин-5’-трифосфато-гістидинато-магнію (II) трикалієва сіль октагідрат з натрію х,
